Product_ID,Category,Brand,Season,Price,Stock,Rating,Discount
CAT0001,Kurta,Adidas,Festive,56698,457,1.8,80.0
CAT0002,Dress,H&M,Winter,26273,310,3.1,80.0
CAT0003,Jeans,Biba,Summer,7947,419,4.7,80.0
CAT0004,Dress,H&M,Festive,50163,342,4.3,80.0
CAT0005,Dress,FabIndia,Summer,8496,458,4.4,80.0
CAT0006,Shirt,Biba,Monsoon,85564,33,2.2,80.0
CAT0007,Jeans,H&M,Winter,33822,467,2.7,80.0
CAT0008,Jeans,Zara,Summer,17803,44,2.9,80.0
CAT0009,Jeans,FabIndia,Winter,49706,33,1.6,80.0
CAT0010,Dress,FabIndia,Summer,108428,37,1.1,80.0
CAT0011,Kurta,FabIndia,Monsoon,26290,493,4.8,80.0
CAT0012,Jeans,Zara,Monsoon,1334,473,2.0,80.0
CAT0013,Jacket,Zara,Winter,34643,497,2.0,80.0
CAT0014,Dress,Levis,Monsoon,44298,25,1.3,80.0
CAT0015,Shirt,Nike,Festive,24996,68,4.7,80.0
CAT0016,Kurta,Adidas,Summer,111511,474,3.3,80.0
CAT0017,Jacket,H&M,Monsoon,22345,252,3.7,80.0
CAT0018,Jacket,Levis,Festive,5756,447,4.6,80.0
CAT0019,Shirt,H&M,Winter,4106,216,2.4,80.0
CAT0020,Kurta,Adidas,Festive,16705,409,3.5,80.0
CAT0021,Dress,Nike,Winter,90535,280,1.2,80.0
CAT0022,T-Shirt,Zara,Winter,18840,258,1.7,80.0
CAT0023,Kurta,Nike,Summer,58652,491,4.3,80.0
CAT0024,Shirt,Zara,Summer,48999,276,4.1,80.0
CAT0025,Jacket,Adidas,Festive,26497,202,2.4,80.0
CAT0026,Dress,Nike,Summer,98875,344,2.5,80.0
CAT0027,Kurta,Levis,Summer,103994,227,3.1,80.0
CAT0028,T-Shirt,Biba,Summer,91471,124,1.0,80.0
CAT0029,T-Shirt,Levis,Festive,49206,77,2.0,80.0
CAT0030,Jeans,H&M,Monsoon,64001,308,1.8,80.0
CAT0031,Jeans,Levis,Summer,98384,334,2.0,80.0
CAT0032,Shirt,Adidas,Summer,81652,492,4.2,80.0
CAT0033,Kurta,FabIndia,Festive,96783,406,2.1,80.0
CAT0034,Kurta,H&M,Monsoon,81568,403,1.8,80.0
CAT0035,Jacket,Nike,Summer,70361,84,3.0,80.0
CAT0036,Jacket,H&M,Winter,42000,475,4.5,80.0
CAT0037,Jacket,Biba,Festive,78695,491,2.0,80.0
CAT0038,Jeans,Zara,Summer,27993,112,1.3,80.0
CAT0039,Kurta,Nike,Summer,62470,306,2.4,80.0
CAT0040,Kurta,H&M,Winter,29943,499,4.0,80.0
CAT0041,T-Shirt,Nike,Winter,39666,187,3.2,80.0
CAT0042,Jeans,Nike,Festive,104557,224,4.3,80.0
CAT0043,Dress,Nike,Festive,18007,464,4.8,80.0
CAT0044,Jeans,Zara,Winter,19777,324,4.2,80.0
CAT0045,Dress,Adidas,Festive,61972,48,3.4,80.0
CAT0046,T-Shirt,Levis,Winter,84251,268,3.0,80.0
CAT0047,Shirt,Nike,Summer,91711,213,1.2,80.0
CAT0048,Kurta,FabIndia,Winter,52398,16,4.9,80.0
CAT0049,T-Shirt,Adidas,Winter,55948,58,2.5,80.0
CAT0050,Kurta,Biba,Monsoon,93518,35,1.6,80.0
CAT0051,Jacket,Zara,Winter,44266,170,3.7,80.0
CAT0052,Shirt,H&M,Winter,75468,366,2.1,80.0
CAT0053,Shirt,Zara,Monsoon,104336,185,3.3,80.0
CAT0054,T-Shirt,H&M,Festive,88052,88,3.3,80.0
CAT0055,Shirt,Zara,Monsoon,28707,11,2.8,80.0
CAT0056,Dress,H&M,Summer,71484,498,4.3,80.0
CAT0057,Shirt,Nike,Monsoon,75313,392,2.1,80.0
CAT0058,Kurta,Levis,Summer,106869,464,2.8,80.0
CAT0059,Kurta,H&M,Festive,78152,425,3.2,80.0
CAT0060,Kurta,H&M,Monsoon,42764,141,3.7,80.0
CAT0061,Kurta,FabIndia,Monsoon,12870,285,4.1,80.0
CAT0062,Dress,H&M,Festive,57758,126,2.6,80.0
CAT0063,Jeans,FabIndia,Summer,107599,173,3.6,80.0
CAT0064,Jacket,Biba,Monsoon,102978,297,1.6,80.0
CAT0065,T-Shirt,Nike,Summer,72245,37,4.7,80.0
CAT0066,Kurta,FabIndia,Monsoon,106074,342,2.5,80.0
CAT0067,Shirt,Levis,Winter,84844,10,3.9,80.0
CAT0068,Kurta,Adidas,Monsoon,96602,197,1.1,80.0
CAT0069,Shirt,Nike,Festive,87743,65,1.8,80.0
CAT0070,Jacket,FabIndia,Festive,36042,44,2.9,80.0
CAT0071,Jacket,Nike,Summer,107125,121,4.5,80.0
CAT0072,Jacket,Nike,Monsoon,77392,295,3.1,80.0
CAT0073,Shirt,Nike,Summer,116191,319,4.7,80.0
CAT0074,Kurta,Biba,Summer,77756,45,2.9,80.0
CAT0075,Jacket,Levis,Winter,118692,448,3.0,80.0
CAT0076,Dress,Zara,Winter,106588,226,1.5,80.0
CAT0077,Shirt,Zara,Festive,1074,89,4.2,80.0
CAT0078,Shirt,FabIndia,Summer,51472,323,2.0,80.0
CAT0079,Kurta,Nike,Festive,26628,92,4.6,80.0
CAT0080,Shirt,FabIndia,Monsoon,71192,74,4.6,80.0
CAT0081,Shirt,Biba,Summer,46568,334,4.8,80.0
CAT0082,Jacket,Biba,Summer,62367,137,3.1,80.0
CAT0083,Kurta,H&M,Monsoon,100849,316,3.7,80.0
CAT0084,Jacket,Biba,Monsoon,90290,31,4.1,80.0
CAT0085,Jacket,H&M,Festive,80996,225,1.5,80.0
CAT0086,Kurta,Levis,Festive,73912,116,3.4,80.0
CAT0087,T-Shirt,FabIndia,Monsoon,11931,118,1.1,80.0
CAT0088,Jacket,Adidas,Festive,5665,381,3.0,80.0
CAT0089,Dress,Levis,Monsoon,117508,366,1.6,80.0
CAT0090,Dress,Biba,Summer,36283,190,1.7,80.0
CAT0091,Shirt,Levis,Summer,82658,365,2.5,80.0
CAT0092,Dress,Levis,Winter,97778,173,2.7,80.0
CAT0093,Shirt,Levis,Summer,77096,77,3.5,80.0
CAT0094,T-Shirt,Biba,Monsoon,85208,301,1.3,80.0
CAT0095,Kurta,Adidas,Festive,9245,189,3.0,80.0
CAT0096,Kurta,Nike,Winter,88733,190,1.7,80.0
CAT0097,Kurta,Levis,Festive,20620,475,3.3,80.0
CAT0098,Dress,H&M,Monsoon,43279,443,3.5,80.0
CAT0099,T-Shirt,Biba,Summer,8681,473,3.2,80.0
CAT0100,Dress,Levis,Winter,37188,178,4.0,80.0
CAT0101,Dress,Adidas,Monsoon,88089,411,2.3,80.0
CAT0102,T-Shirt,Nike,Winter,42824,31,4.1,80.0
CAT0103,T-Shirt,Biba,Winter,94808,75,2.7,80.0
CAT0104,T-Shirt,Zara,Summer,82626,30,2.9,80.0
CAT0105,T-Shirt,Nike,Monsoon,29981,109,3.6,80.0
CAT0106,Kurta,H&M,Festive,57324,393,1.1,80.0
CAT0107,Jeans,Levis,Winter,11429,309,3.6,80.0
CAT0108,Jeans,Adidas,Winter,38370,112,3.5,80.0
CAT0109,T-Shirt,Zara,Festive,60760,56,2.2,80.0
CAT0110,Jeans,Adidas,Monsoon,52869,48,1.3,80.0
CAT0111,Jeans,Zara,Winter,53201,294,1.4,80.0
CAT0112,T-Shirt,Biba,Winter,72163,319,4.7,80.0
CAT0113,Jeans,Zara,Winter,56802,99,3.8,80.0
CAT0114,Dress,H&M,Monsoon,65674,94,1.5,80.0
CAT0115,Shirt,H&M,Monsoon,83086,282,2.4,80.0
CAT0116,Shirt,FabIndia,Festive,6620,345,3.4,80.0
CAT0117,T-Shirt,H&M,Monsoon,67748,197,4.3,80.0
CAT0118,Kurta,Nike,Monsoon,41948,168,1.2,80.0
CAT0119,T-Shirt,Zara,Summer,53623,252,1.9,80.0
CAT0120,Kurta,H&M,Festive,20030,82,4.6,80.0
CAT0121,Shirt,Biba,Winter,100267,488,1.0,80.0
CAT0122,T-Shirt,Adidas,Monsoon,44589,471,1.8,80.0
CAT0123,Jacket,Adidas,Winter,14458,58,4.8,80.0
CAT0124,Dress,FabIndia,Winter,91713,110,3.5,80.0
CAT0125,Jeans,Adidas,Summer,96406,11,2.0,80.0
CAT0126,Kurta,Zara,Monsoon,35231,253,1.3,80.0
CAT0127,Jacket,FabIndia,Festive,75392,185,1.1,80.0
CAT0128,Jeans,Zara,Monsoon,50533,247,2.0,80.0
CAT0129,Jeans,Biba,Winter,9987,407,4.5,80.0
CAT0130,T-Shirt,FabIndia,Festive,104285,68,2.7,80.0
CAT0131,Jeans,Levis,Monsoon,52301,362,3.9,80.0
CAT0132,Dress,Nike,Winter,118278,108,4.7,80.0
CAT0133,Jacket,Nike,Winter,36974,451,2.6,80.0
CAT0134,Jeans,Zara,Summer,33223,368,1.8,80.0
CAT0135,T-Shirt,Adidas,Summer,112801,451,3.1,80.0
CAT0136,Dress,Levis,Summer,97774,444,4.6,80.0
CAT0137,Shirt,FabIndia,Winter,93798,477,4.2,80.0
CAT0138,Jacket,Levis,Monsoon,26449,11,1.3,80.0
CAT0139,Jeans,Levis,Summer,100143,252,3.8,80.0
CAT0140,T-Shirt,Adidas,Monsoon,59011,306,3.3,80.0
CAT0141,Shirt,FabIndia,Summer,30213,220,4.6,80.0
CAT0142,Shirt,Biba,Festive,69603,132,1.5,80.0
CAT0143,Kurta,Adidas,Festive,68622,238,3.1,80.0
CAT0144,Dress,Levis,Summer,102316,91,4.5,80.0
CAT0145,Jeans,Levis,Winter,14656,153,2.6,80.0
CAT0146,T-Shirt,Biba,Summer,94491,397,2.9,80.0
CAT0147,Kurta,Levis,Summer,80004,149,1.3,80.0
CAT0148,Dress,Levis,Winter,113754,38,2.1,80.0
CAT0149,Kurta,Levis,Festive,26176,400,2.3,80.0
CAT0150,Jacket,Nike,Monsoon,27822,279,4.8,80.0
CAT0151,Dress,Adidas,Summer,38567,256,2.1,80.0
CAT0152,Dress,H&M,Winter,52563,21,2.8,80.0
CAT0153,Jeans,Adidas,Summer,65216,364,3.7,80.0
CAT0154,Dress,Biba,Winter,59363,398,1.6,80.0
CAT0155,Kurta,Levis,Monsoon,51121,346,2.9,80.0
CAT0156,Dress,Adidas,Monsoon,27431,115,4.0,80.0
CAT0157,Jeans,Nike,Festive,114128,41,4.5,80.0
CAT0158,Jeans,Biba,Winter,28241,83,3.5,80.0
CAT0159,Jacket,Zara,Winter,50644,180,3.7,80.0
CAT0160,Kurta,Adidas,Festive,104014,346,1.5,80.0
CAT0161,Shirt,Zara,Festive,113905,78,4.8,80.0
CAT0162,Shirt,Levis,Winter,18760,310,1.5,80.0
CAT0163,Dress,Nike,Festive,1229,371,4.1,80.0
CAT0164,Jacket,Nike,Monsoon,95536,146,2.1,80.0
CAT0165,T-Shirt,Adidas,Summer,46901,442,4.7,80.0
CAT0166,Dress,Biba,Monsoon,86276,426,3.9,80.0
CAT0167,Jacket,Biba,Festive,55582,493,4.0,80.0
CAT0168,Kurta,Nike,Winter,31101,109,1.9,80.0
CAT0169,Kurta,Biba,Winter,81013,155,2.8,80.0
CAT0170,Kurta,Nike,Monsoon,78441,18,3.5,80.0
CAT0171,Kurta,Adidas,Winter,60022,71,4.1,80.0
CAT0172,Kurta,H&M,Festive,7385,194,1.4,80.0
CAT0173,Jacket,Nike,Monsoon,82883,38,4.8,80.0
CAT0174,Jacket,Zara,Winter,62862,390,4.6,80.0
CAT0175,Jeans,Biba,Summer,21623,123,2.1,80.0
CAT0176,Shirt,Nike,Summer,67717,471,4.3,80.0
CAT0177,Kurta,Nike,Festive,106968,418,3.1,80.0
CAT0178,T-Shirt,Adidas,Winter,107549,152,2.8,80.0
CAT0179,Jacket,Biba,Festive,79973,399,2.3,80.0
CAT0180,T-Shirt,H&M,Monsoon,104365,129,3.3,80.0
CAT0181,T-Shirt,Adidas,Summer,110149,179,3.9,80.0
CAT0182,T-Shirt,H&M,Monsoon,32380,166,2.6,80.0
CAT0183,Jeans,Adidas,Winter,84723,344,3.5,80.0
CAT0184,Jacket,Biba,Festive,92738,358,3.8,80.0
CAT0185,T-Shirt,FabIndia,Festive,69026,269,3.8,80.0
CAT0186,Kurta,Biba,Festive,40794,91,1.2,80.0
CAT0187,Dress,Biba,Monsoon,48814,251,4.4,80.0
CAT0188,T-Shirt,H&M,Summer,45353,450,2.8,80.0
CAT0189,Jeans,H&M,Monsoon,66827,442,2.0,80.0
CAT0190,Jacket,Biba,Monsoon,25575,181,2.0,80.0
CAT0191,Jeans,Biba,Winter,84967,240,2.9,80.0
CAT0192,T-Shirt,Biba,Winter,107735,217,4.5,80.0
CAT0193,Jacket,H&M,Winter,86111,84,2.5,80.0
CAT0194,Dress,Biba,Summer,100492,279,4.0,80.0
CAT0195,T-Shirt,Biba,Summer,97799,396,1.4,80.0
CAT0196,Jeans,Levis,Winter,69956,123,2.9,80.0
CAT0197,Shirt,FabIndia,Winter,42964,71,5.0,80.0
CAT0198,Kurta,Zara,Summer,70369,371,4.1,80.0
CAT0199,Jeans,FabIndia,Festive,49796,329,1.8,80.0
CAT0200,Jacket,Levis,Summer,40034,111,3.0,80.0
CAT0201,T-Shirt,Zara,Summer,95495,438,1.9,80.0
CAT0202,Kurta,Adidas,Summer,100238,371,2.6,80.0
CAT0203,T-Shirt,Biba,Winter,118348,219,4.1,80.0
CAT0204,Jacket,Levis,Festive,69472,451,4.1,80.0
CAT0205,T-Shirt,Adidas,Summer,21800,264,1.9,80.0
CAT0206,Shirt,Biba,Winter,94392,29,4.7,80.0
CAT0207,Kurta,H&M,Monsoon,9340,67,3.4,80.0
CAT0208,Kurta,Nike,Monsoon,38346,121,2.5,80.0
CAT0209,Jacket,Levis,Summer,39599,482,3.0,80.0
CAT0210,Shirt,H&M,Monsoon,39811,322,3.4,80.0
CAT0211,Jeans,Levis,Festive,29859,495,3.2,80.0
CAT0212,T-Shirt,Levis,Monsoon,111115,470,2.9,80.0
CAT0213,Dress,H&M,Monsoon,80578,205,3.0,80.0
CAT0214,T-Shirt,Zara,Festive,75329,384,1.7,80.0
CAT0215,T-Shirt,FabIndia,Summer,10093,471,4.3,80.0
CAT0216,Jeans,Biba,Summer,43390,362,3.2,80.0
CAT0217,T-Shirt,Levis,Festive,45910,101,1.5,80.0
CAT0218,Shirt,Biba,Festive,21192,61,4.1,80.0
CAT0219,Shirt,Nike,Festive,44044,302,4.7,80.0
CAT0220,Kurta,H&M,Monsoon,7019,17,4.8,80.0
CAT0221,Jacket,Biba,Festive,61228,309,2.5,80.0
CAT0222,Dress,H&M,Winter,56909,107,1.5,80.0
CAT0223,T-Shirt,Biba,Monsoon,106123,245,3.1,80.0
CAT0224,T-Shirt,FabIndia,Summer,44456,398,1.5,80.0
CAT0225,Jeans,FabIndia,Summer,108519,383,4.7,80.0
CAT0226,Jacket,FabIndia,Summer,55521,78,1.7,80.0
CAT0227,Shirt,FabIndia,Monsoon,21068,424,2.0,80.0
CAT0228,Dress,FabIndia,Winter,28529,54,2.6,80.0
CAT0229,Kurta,FabIndia,Festive,108625,146,2.5,80.0
CAT0230,Shirt,H&M,Festive,90960,243,4.2,80.0
CAT0231,Jacket,Levis,Summer,83382,41,2.8,80.0
CAT0232,Kurta,Biba,Summer,3112,298,1.7,80.0
CAT0233,Jeans,FabIndia,Monsoon,14001,135,2.1,80.0
CAT0234,Jeans,H&M,Winter,117776,76,3.0,80.0
CAT0235,T-Shirt,H&M,Festive,45897,39,1.6,80.0
CAT0236,Jacket,H&M,Monsoon,52499,123,3.4,80.0
CAT0237,Dress,Levis,Festive,70982,213,3.3,80.0
CAT0238,Kurta,Biba,Summer,56506,38,3.9,80.0
CAT0239,Shirt,Levis,Festive,14895,140,4.8,80.0
CAT0240,Jacket,Zara,Winter,5880,483,4.6,80.0
CAT0241,Jacket,Adidas,Winter,14071,194,4.8,80.0
CAT0242,Jeans,H&M,Summer,98580,262,2.0,80.0
CAT0243,T-Shirt,Zara,Winter,71288,295,1.5,80.0
CAT0244,T-Shirt,Nike,Winter,83261,402,2.2,80.0
CAT0245,Kurta,FabIndia,Monsoon,19173,419,4.6,80.0
CAT0246,Jeans,Adidas,Festive,45499,395,4.9,80.0
CAT0247,Jacket,FabIndia,Summer,81683,71,4.4,80.0
CAT0248,Dress,Levis,Summer,83436,12,1.4,80.0
CAT0249,Jeans,Adidas,Summer,42129,439,4.8,80.0
CAT0250,Kurta,Biba,Summer,22987,77,2.7,80.0
CAT0251,Kurta,Zara,Summer,15147,34,1.0,80.0
CAT0252,Jeans,Biba,Winter,105125,188,2.8,80.0
CAT0253,Kurta,Levis,Monsoon,88753,150,1.2,80.0
CAT0254,Jeans,FabIndia,Summer,45189,240,3.2,80.0
CAT0255,Shirt,Adidas,Monsoon,21073,309,2.4,80.0
CAT0256,Jeans,Biba,Monsoon,9026,172,2.9,80.0
CAT0257,Jeans,Biba,Winter,61123,320,3.5,80.0
CAT0258,Kurta,FabIndia,Summer,3037,480,4.5,80.0
CAT0259,Kurta,Adidas,Winter,63873,402,3.6,80.0
CAT0260,T-Shirt,Zara,Summer,42572,139,2.7,80.0
CAT0261,T-Shirt,FabIndia,Winter,102540,454,4.3,80.0
CAT0262,Shirt,Biba,Monsoon,51563,255,4.6,80.0
CAT0263,T-Shirt,Zara,Summer,102634,306,1.5,80.0
CAT0264,Jeans,Zara,Festive,2991,181,3.1,80.0
CAT0265,Kurta,FabIndia,Monsoon,28906,73,2.1,80.0
CAT0266,T-Shirt,Biba,Festive,71726,40,1.2,80.0
CAT0267,T-Shirt,Levis,Monsoon,118398,56,3.7,80.0
CAT0268,Shirt,Biba,Winter,10454,139,4.5,80.0
CAT0269,Jacket,H&M,Summer,30491,361,1.7,80.0
CAT0270,Shirt,Adidas,Monsoon,4908,475,4.2,80.0
CAT0271,Jeans,Nike,Winter,17160,342,4.4,80.0
CAT0272,Kurta,Levis,Summer,60908,119,4.7,80.0
CAT0273,Shirt,Zara,Summer,31808,78,2.1,80.0
CAT0274,T-Shirt,Levis,Monsoon,49152,67,4.6,80.0
CAT0275,Kurta,Adidas,Summer,103468,115,2.3,80.0
CAT0276,Kurta,Zara,Monsoon,1525,309,3.2,80.0
CAT0277,T-Shirt,Adidas,Summer,99635,339,1.2,80.0
CAT0278,Shirt,Zara,Festive,22242,265,1.2,80.0
CAT0279,T-Shirt,Levis,Winter,640,321,3.9,71.2
CAT0280,Jacket,Zara,Festive,3879,180,2.8,80.0
CAT0281,Kurta,Zara,Monsoon,6124,392,2.0,80.0
CAT0282,Dress,H&M,Festive,118372,482,1.8,80.0
CAT0283,Dress,Biba,Monsoon,85366,171,3.7,80.0
CAT0284,Jeans,Biba,Summer,84010,494,1.0,80.0
CAT0285,T-Shirt,Nike,Summer,97020,295,4.2,80.0
CAT0286,T-Shirt,Nike,Monsoon,21548,80,1.3,80.0
CAT0287,Jeans,H&M,Festive,34800,264,1.8,80.0
CAT0288,Jeans,Nike,Summer,21442,463,2.5,80.0
CAT0289,Jeans,Adidas,Winter,101441,383,2.9,80.0
CAT0290,Kurta,Levis,Summer,104039,64,2.4,80.0
CAT0291,Jacket,FabIndia,Winter,3309,332,2.3,80.0
CAT0292,T-Shirt,Adidas,Festive,98312,406,4.9,80.0
CAT0293,Kurta,FabIndia,Winter,62916,12,3.6,80.0
CAT0294,Jeans,FabIndia,Winter,95037,35,1.1,80.0
CAT0295,T-Shirt,H&M,Winter,102984,322,2.7,80.0
CAT0296,Kurta,Adidas,Winter,17215,135,4.5,80.0
CAT0297,Jacket,H&M,Summer,21788,417,2.2,80.0
CAT0298,Kurta,Zara,Winter,1223,62,1.4,80.0
CAT0299,Jacket,FabIndia,Summer,46661,207,4.0,80.0
CAT0300,Jeans,Levis,Winter,84457,308,3.4,80.0
